8.03E+14,1,-1.1923125,1.6352397,8.755595
8.03E+14,1,0.82121116,1.4389153,9.267955
8.03E+14,1,-1.6759412,0.320823,10.757148
8.03E+14,1,-0.45729253,0.9911995,10.189722
8.03E+14,1,0.6895301,1.6472107,8.698134
8.03E+14,1,-1.1420342,0.92416185,9.607931
8.03E+14,1,-0.7685388,0.61530983,10.366894
8.03E+14,1,-0.5746084,1.2066777,8.9998045
8.03E+14,1,-0.51954174,1.1204864,9.241618
8.03E+14,1,-0.7469909,0.61530983,10.089166
8.03E+14,1,-0.56982,0.8882488,9.488221
8.03E+14,1,0.093373865,1.1587936,9.13388
8.03E+14,1,-0.6943185,0.770933,9.785102
8.03E+14,1,-0.89064306,0.78529817,9.888053
8.03E+14,1,-0.47165772,1.2186487,9.208099
8.03E+14,1,-0.4381389,1.0989386,9.337387
8.03E+14,1,-0.39504328,0.8595184,9.77792
8.03E+14,1,-0.59615624,0.9816227,9.457097
8.03E+14,1,-0.61770403,1.0582372,9.40203
8.03E+14,1,-0.5315128,0.93613285,9.667787
8.03E+14,1,-0.6919243,0.9672575,9.514558
8.03E+14,1,-0.46208093,1.0845734,9.394848
8.03E+14,1,-0.29927522,0.9959879,9.533711
8.03E+14,1,-0.49799395,0.92416185,9.672575
8.03E+14,1,-0.5626374,1.1013328,9.435549
8.03E+14,1,-0.4381389,1.1372458,9.385271
8.03E+14,1,-0.30166942,1.0199299,9.665392
8.03E+14,1,-0.46208093,1.0271125,9.531317
8.03E+14,1,-0.4309563,1.0366893,9.433155
8.03E+14,1,-0.50517654,0.9504981,9.579201
8.03E+14,1,-0.50517654,1.0079589,9.595961
8.03E+14,1,-0.5243302,1.0989386,9.425972
8.03E+14,1,-0.50278234,1.0366893,9.495404
8.03E+14,1,-0.39025488,0.9768343,9.615114
8.03E+14,1,-0.45968673,1.0295067,9.495404
8.03E+14,1,-0.46208093,1.0582372,9.56723
8.03E+14,1,-0.58657944,0.9768343,9.591172
8.03E+14,1,-0.48362875,0.9816227,9.5385
8.03E+14,1,-0.49799395,1.0007763,9.478644
8.03E+14,1,-0.51954174,1.0055647,9.56723
8.03E+14,1,-0.62249243,0.9888053,9.56723
8.03E+14,1,-0.5626374,0.9888053,9.52174
8.03E+14,1,-0.50517654,0.94331545,9.576807
8.03E+14,1,-0.50278234,0.92416185,9.56723
8.03E+14,1,-0.49320555,1.0342951,9.528923
8.03E+14,1,-0.4309563,1.1324574,9.555259
8.03E+14,1,-0.62009823,1.0845734,9.464279
8.03E+14,1,-0.6847417,0.9576807,9.583989
8.03E+14,1,-0.4309563,0.8738836,9.660604
8.03E+14,1,-0.6703765,0.9792285,9.595961
8.03E+14,1,-0.830788,1.2042835,9.488221
8.03E+14,1,-0.7565677,1.3599066,9.449914
8.03E+14,1,-0.770933,1.3910311,9.459491
8.03E+14,1,-0.7685388,1.2641385,9.497798
8.03E+14,1,-0.50038815,1.1228806,9.593566
8.03E+14,1,-0.46208093,0.9816227,9.660604
8.03E+14,1,-0.4261679,1.364695,9.464279
8.03E+14,1,-0.5770026,1.4987702,9.287108
8.03E+14,1,-0.2777274,1.2497733,9.215282
8.03E+14,1,-0.59376204,1.2042835,9.739613
8.03E+14,1,-0.7254431,1.4820108,9.406818
8.03E+14,1,-0.40701428,1.6903064,9.698911
8.03E+14,1,-0.9720459,0.39025488,8.74123
8.03E+14,1,0.28491,1.1731589,9.674969
8.03E+14,1,-0.7158663,1.2018893,9.320627
8.03E+14,1,-0.23223756,1.1133038,9.849746
8.03E+14,1,-0.7302315,1.271321,9.667787
8.03E+14,1,-0.45010993,1.532289,9.533711
8.03E+14,1,-0.023942016,1.5945383,9.782708
8.03E+14,1,-0.6368576,1.352724,9.361329
8.03E+14,1,0.20829555,1.1204864,9.543288
8.03E+14,1,-0.1436521,1.1252748,9.67018
8.03E+14,1,-0.4429273,0.9504981,9.442732
8.03E+14,1,-0.6560113,0.93613285,9.674969
8.03E+14,1,-0.6871359,1.2425907,9.531317
8.03E+14,1,0.18435353,1.6424223,9.574412
8.03E+14,1,-0.49320555,1.8076223,9.411607
8.03E+14,1,-0.3184288,1.8674773,9.368511
8.03E+14,1,-0.055066638,1.9560628,9.648633
8.03E+14,1,-1.1587936,1.9057846,9.241618
8.03E+14,1,-0.36631286,1.6927006,9.325416
8.03E+14,1,-0.50996494,1.6567876,9.409213
8.03E+14,1,0.04309563,1.7310078,9.349358
8.03E+14,1,-0.39264908,1.6927006,9.155427
8.03E+14,1,0.09816227,1.328782,9.449914
8.03E+14,1,1.0821792,1.0989386,9.0476885
8.03E+14,1,0.33279404,1.1444284,9.155427
8.03E+14,1,0.44771573,1.292869,9.397242
8.03E+14,1,0.37349546,1.7046716,9.330204
8.03E+14,1,-0.5602432,1.5969325,9.425972
8.03E+14,1,-0.5315128,1.8363527,9.406818
8.03E+14,1,1.4293385,2.0207062,9.694122
8.03E+14,1,1.8483237,2.27928,9.579201
8.03E+14,1,0.60812724,2.4516625,9.7084875
8.03E+14,1,0.8834604,2.147599,9.514558
8.03E+14,1,1.5610195,2.597709,10.0508585
8.03E+14,1,-0.7733272,2.372654,8.365341
8.03E+14,1,-1.7525556,2.1978772,10.733206
8.03E+14,1,3.7732618,2.4756045,8.956709
8.03E+14,1,1.2258313,2.645593,10.127473
8.03E+14,1,0.48841715,3.083732,8.839393
8.03E+14,1,2.7246015,3.3758245,8.911219
8.03E+14,1,1.0031705,3.3806129,8.0924015
8.03E+14,1,1.7764976,0.545878,10.632649
8.03E+14,1,0.08379706,1.4077905,8.6813755
8.03E+14,1,1.7477672,0.90500826,10.287885
8.03E+14,1,-0.34955344,0.7374141,7.9248075
8.03E+14,1,0.7733272,1.4772224,10.879252
8.03E+14,1,1.3934253,3.6032736,7.8912888
8.03E+14,1,5.506664,3.086126,6.361394
8.03E+14,1,0.7038953,0.48123455,13.000515
8.03E+14,1,0.82121116,0.7062895,8.073248
8.03E+14,1,4.003105,1.0534488,11.856087
8.03E+14,1,0.6703765,3.2154129,7.639898
8.03E+14,1,2.4516625,3.4979286,7.2544312
8.03E+14,1,1.6400281,2.231396,8.418014
8.03E+14,1,-0.29688102,3.787627,9.193734
8.03E+14,1,2.4109612,1.9369092,12.840104
8.03E+14,1,-3.7181952,0.62728083,10.716447
8.03E+14,1,0.20829555,3.0550013,10.941502
8.03E+14,1,-1.1468226,3.0023289,9.354146
8.03E+14,1,-0.8475474,3.739743,10.338163
8.03E+14,1,2.3774424,3.9145198,10.867282
8.03E+14,1,-2.6120741,5.9400144,5.1379566
8.03E+14,1,2.7341783,4.405331,8.693346
8.03E+14,1,0.25857377,2.408567,14.566323
8.03E+14,1,-0.9935937,-1.0342951,9.370906
8.03E+14,1,-0.1340753,-1.2880806,8.887277
8.03E+14,1,-0.92655605,3.6176388,11.049241
8.03E+14,1,-0.2633622,5.6335564,4.146757
8.03E+14,1,-2.6264393,2.585738,9.950302
8.03E+14,1,0.9576807,0.7685388,12.8688345
8.03E+14,1,-2.0326772,-0.17717093,3.5458126
8.03E+14,1,-0.31603462,0.5410896,15.533581
8.03E+14,1,3.4979286,2.6671407,22.373816
8.03E+14,1,-6.208165,4.2664676,-0.641646
8.03E+14,1,3.3566709,-3.1268275,-10.295067
8.03E+14,1,8.11395,0.92655605,16.670826
8.03E+14,1,-6.50744,1.5945383,-3.596091
8.03E+14,1,2.3056161,3.6343982,2.657564
8.03E+14,1,6.519411,2.1763294,10.407595
8.03E+14,1,-6.6271505,-0.32800564,8.578424
8.03E+14,1,-1.2210429,-3.715801,9.718064
8.03E+14,1,2.006341,4.285621,12.966996
8.03E+14,1,-1.745373,-0.19632454,8.870518
8.03E+14,1,0.90021986,2.930503,11.939884
8.03E+14,1,-1.661576,1.5442601,10.3692875
8.03E+14,1,-2.1332338,-1.6831238,12.34211
8.03E+14,1,-0.079008654,-0.58418524,12.174516
8.03E+14,1,-2.5570073,-2.980781,8.734048
8.03E+14,1,-2.6623523,4.156334,5.8083334
8.03E+14,1,-0.89064306,-0.23942018,7.477092
8.03E+14,1,1.721431,1.388637,13.460202
8.03E+14,1,0.63206923,2.0135236,5.5042696
8.03E+14,1,-0.5746084,4.1252093,7.773973
8.03E+14,1,2.336741,-1.0319009,2.992752
8.03E+14,1,3.4404678,5.2959743,11.587936
8.03E+14,1,-7.967903,6.184223,17.717093
8.03E+14,1,2.4372973,-0.076614454,10.876859
8.03E+14,1,5.9448028,-6.555324,21.29403
8.03E+14,1,-9.471462,1.757344,0.61530983
8.03E+14,1,3.8977604,0.2801216,16.153679
8.03E+14,1,0.15801731,3.1411927,9.782708
8.03E+14,1,-6.588843,3.0669725,5.901707
8.03E+14,1,3.071761,3.5003228,16.627731
8.03E+14,1,-3.2393548,2.1499932,10.053253
8.03E+14,1,-2.291251,-1.6950948,12.921507
8.03E+14,1,0.7182605,0.079008654,11.848905
8.03E+14,1,-3.6942532,2.9735985,8.848969
8.03E+14,1,0.2657564,-1.6472107,12.897565
8.03E+14,1,-0.557849,1.9009962,12.962208
8.03E+14,1,0.011971008,3.6343982,8.968679
8.03E+14,1,1.8219875,4.498705,6.457162
8.03E+14,1,-2.7246015,-0.5793968,11.137826
8.03E+14,1,0.79487497,-0.36631286,14.121001
8.03E+14,1,-0.60812724,5.729325,6.045359
8.03E+14,1,-1.3024458,2.4612393,10.453085
8.03E+14,1,0.46447513,5.853823,7.302315
8.03E+14,1,0.6536171,0.11971009,6.730101
8.03E+14,1,-1.0199299,-0.39504328,15.456966
8.03E+14,1,0.62728083,3.229778,12.349293
8.03E+14,1,2.4301147,6.895301,13.237541
8.03E+14,1,2.5833437,11.552023,-0.51954174
8.03E+14,1,-2.60968,3.8594532,4.06296
8.03E+14,1,-1.4820108,-2.9041667,10.99178
8.03E+14,1,1.6783354,5.374983,8.793902
8.03E+14,1,-1.3359646,3.9935284,8.324639
8.03E+14,1,-2.243367,5.197812,16.915035
8.03E+14,1,0.4357447,1.946486,18.780119
8.03E+14,1,-0.009576807,2.303222,14.415488
8.03E+14,1,-4.4603977,2.56419,16.033968
8.03E+14,1,-2.4109612,-0.15083471,11.020511
8.03E+14,1,-1.1540052,-7.666234,19.960459
8.03E+14,1,-2.992752,-3.0789435,11.32218
8.03E+14,1,0.21787235,4.853047,5.9424086
8.03E+14,1,-0.22984336,2.1188686,2.801216
8.03E+14,1,1.2904748,-0.30645782,10.244789
8.03E+14,1,1.3383588,-0.62728083,10.110714
8.03E+14,1,0.90261406,0.10295067,10.390836
8.03E+14,1,-0.533907,0.4333505,11.84651
8.03E+14,1,-0.62249243,0.59615624,13.196839
8.03E+14,1,-1.2880806,-1.7764976,11.274296
8.03E+14,1,1.103727,4.5920787,4.1252093
8.03E+14,1,2.3175871,2.1308396,8.896853
8.03E+14,1,3.0430303,2.123657,2.5450363
8.03E+14,1,0.10055647,-2.6862943,7.374141
8.03E+14,1,1.283292,-7.1730285,17.980455
8.03E+14,1,0.25857377,-1.412579,7.067683
8.03E+14,1,-2.765303,0.090979666,8.578424
8.03E+14,1,3.8857894,-0.6895301,13.184869
8.03E+14,1,0.8762778,-6.981492,-1.553837
8.03E+14,1,1.4077905,1.3455414,6.7013707
8.03E+14,1,2.1380222,-10.362105,19.725828
8.03E+14,1,-4.51307,1.0702082,5.7748146
8.03E+14,1,0.7493851,9.222465,-0.7254431
8.03E+14,1,2.018312,9.581595,4.781221
8.03E+14,1,-2.2840683,4.3742065,14.501679
8.03E+14,1,-4.900931,4.292804,12.5504055
8.03E+14,1,2.243367,2.6623523,11.633426
8.03E+14,1,-1.8483237,2.9281087,22.033838
8.03E+14,1,-2.1284454,9.562442,8.130709
8.03E+14,1,-2.3056161,-1.9033904,6.409278
8.03E+14,1,-0.16280572,0.2753332,11.84651
8.03E+14,1,1.8938135,-2.6120741,9.627085
8.03E+14,1,-4.474763,-3.5936968,2.087744
8.03E+14,1,0.18674773,0.7422025,3.6248214
8.03E+14,1,1.2952632,9.615114,-2.0757728
8.03E+14,1,-3.9839516,0.5602432,9.605537
8.03E+14,1,1.2761095,-3.0214825,24.2796
8.03E+14,1,-8.190564,-1.1180922,-3.1172507
8.03E+14,1,-0.49320555,6.943185,4.819528
8.03E+14,1,9.703699,-3.5889084,18.907011
8.03E+14,1,-13.309367,3.5553896,1.697489
8.03E+14,1,-9.141062,-2.3558946,9.176975
8.03E+14,1,11.77229,3.5051112,13.433866
8.03E+14,1,-0.81642276,7.560889,-4.984728
8.03E+14,1,-8.02297,1.4317327,9.765948
8.03E+14,1,-0.34476504,-0.7757214,19.239805
8.03E+14,1,-1.0989386,-3.58412,7.73806
8.03E+14,1,4.9655743,2.858677,7.989451
8.03E+14,1,4.4723687,2.8060043,-4.120421
8.03E+14,1,-0.39264908,6.1650696,-0.39743748
8.03E+14,1,0.24899697,-8.827422,9.61272
8.03E+14,1,-1.0151415,-13.953407,18.32043
8.03E+14,1,1.9560628,-7.7811556,22.184673
8.03E+14,1,-0.7350199,24.619576,7.479486
8.03E+14,1,-2.2050598,9.423578,-7.3525934
8.03E+14,1,-2.743755,-11.147403,9.519346
8.03E+14,1,-1.9800048,-4.5872903,24.305935
8.03E+14,1,2.3175871,10.455479,10.381259
8.03E+14,1,5.3127337,9.651027,-18.938135
8.03E+14,1,-7.979874,-13.395558,18.993202
8.03E+14,1,-8.956709,-2.243367,16.350004
8.03E+14,1,5.425261,0.2801216,5.1355624
8.03E+14,1,-3.7780502,2.1212628,21.164743
8.03E+14,1,-9.830592,8.226477,3.6774938
8.03E+14,1,5.707777,-7.1993647,12.301409
8.03E+14,1,4.3382936,7.4962454,17.18558
8.03E+14,1,-6.5146227,4.27365,0.5530606
8.03E+14,1,2.5498247,5.813122,10.120291
8.03E+14,1,0.14604631,4.220978,11.59033
8.03E+14,1,-3.526659,3.0550013,13.728353
8.03E+14,1,5.4563856,-2.0039468,7.5321584
8.03E+14,1,-4.177882,9.308656,4.0198646
8.03E+14,1,0.6871359,3.9600096,6.4858923
8.03E+14,1,2.9041667,2.516306,14.2383175
8.03E+14,1,1.757344,-2.2984335,9.703699
8.03E+14,1,-1.1707647,-2.4061728,33.01365
8.03E+14,1,9.050082,16.977283,6.1650696
8.03E+14,1,11.008539,5.681441,-7.85777
8.03E+14,1,-4.4484267,-3.916914,-4.5561657
8.03E+14,1,7.189788,9.069236,-0.81163436
8.03E+14,1,3.442862,1.1659763,14.683639
